Id,Title,Summary,Date,Link,
34,Beijingâs offer to test all Hong Kongers for coronavirus met with public distrust,Democracy activists share concerns that peopleâs DNA will be collected and abused under the cover of testing,27 Aug 2020,https://www.indiatoday.in/world/asia/270820/beijings-offer-to-test-all-hong-kongers-for-coronavirus-met-with-pu.html
35,Thai court issues new arrest warrant for notorious Red Bull scion,Earlier this year prosecutors had decided to drop charges against him^ which caused widespread anger in the country,26 Aug 2020,https://www.indiatoday.in/world/asia/260820/thai-court-issues-new-arrest-warrant-for-notorious-red-bull-scion.html
36,Hong Kong scientists discover case of man getting reinfected with coronavirus,The man had mild symptoms the first time and none the second time,25 Aug 2020,https://www.indiatoday.in/world/asia/250820/hong-kong-scientists-discover-case-of-man-getting-reinfected-with-coro.html
37,Twin bombings in Philippines leave at least 10 dead^ dozens wounded,The attack happened in Jolo in Muslim-majority Sulu^ where government-backed security forces have long been fighting the Abu Sayyaf group,24 Aug 2020,https://www.indiatoday.in/world/asia/240820/twin-bombing-in-philippines-leave-at-least-10-dead-dozens-wounded.html
38,Second hospital visit stokes health worries about Japanâs PM as he sets tenure record,Abe surpassed a record for longest consecutive tenure as premier set by his great-uncle Eisaku Sato half a century ago,24 Aug 2020,https://www.indiatoday.in/world/asia/240820/second-hospital-visit-stokes-health-worries-about-japans-pm-as-he-s.html
39,US envoy joins Tsai at military memorial service in show of warming relations,Washington's support for Taiwan's democratically elected government has been a chronic irritant in its relations with Beijing,23 Aug 2020,https://www.indiatoday.in/world/asia/230820/us-envoy-joins-tsai-at-military-memorial-service-in-show-of-warming-re.html
40,Hong Kong officials slam US decision to end extradition treaty,US had formally notified withdrawal from bilateral deals with HK^ covering surrender of fugitives^ transfer of prisoners and tax exemptions,20 Aug 2020,https://www.indiatoday.in/world/asia/200820/hong-kong-officials-slam-us-decision-to-end-extradition-treaty.html
41,Church outbreak in South Korea spreads sparking fears of nationwide infection,In-person church services have also been banned while indoor and outdoor gatherings have been restricted to no more than 50 and 100 people,19 Aug 2020,https://www.indiatoday.in/world/asia/190820/church-outbreak-in-south-korea-spreads-sparking-fears-of-nationwide-in.html
42,Mauritius arrests Indian captain of Japanese oil-spill ship,Sunil Kumar Nandeshwar^ captain of MV Wakashio^ charged with endangering safe navigation and is in custody pending a bail hearing next week,19 Aug 2020,https://www.indiatoday.in/world/asia/190820/mauritius-arrests-indian-captain-of-japanese-oil-spill-ship.html
43,Now^ people under 40s more vulnerable to COVID-19: WHO,WHO also reminded drugmakers to follow all necessary research and development steps when creating a vaccine,18 Aug 2020,https://www.indiatoday.in/world/asia/180820/now-people-under-40s-more-vulnerable-to-covid-19-who.html
44,Taiwan to step up scrutiny to prevent Chinese spies settling,Taiwan has offered to welcome Hongkongers who wish to settle there after China's imposition of the controversial national security law,17 Aug 2020,https://www.indiatoday.in/world/asia/170820/taiwan-to-step-up-scrutiny-to-prevent-chinese-spies-settling.html
45,Thailandâs pro-democracy protests grow beyond college campuses,The movement had already declared three core demands: new elections^ constitution amendment and ending intimidation of governmentâs critics,17 Aug 2020,https://www.indiatoday.in/world/asia/170820/thailands-pro-democracy-protests-grow-beyond-college-campuses.html
46,Tensions rise in Thailand ahead of fresh pro-democracy protest,Thailand has seen near-daily demonstrations for the past month by student-led groups denouncing Premier Prayut Chan-O-Cha,16 Aug 2020,https://www.indiatoday.in/world/asia/160820/tensions-rise-in-thailand-ahead-of-fresh-pro-democracy-protest.html
47,South Korea reports largest coronavirus jump since March,Authorities have been struggling to stem transmissions linked to churches^ nursery homes^ schools^ restaurants and door-to-door salespeople,16 Aug 2020,https://www.indiatoday.in/world/asia/160820/south-korea-reports-largest-coronavirus-jump-since-march.html
48,Japan marks 75th anniversary of war end with no Abe apology,Abe has increasingly sought to whitewash Japanâs brutal past since taking office in December 2012,16 Aug 2020,https://www.indiatoday.in/world/asia/160820/japan-marks-75th-anniversary-of-war-end-with-no-abe-apology.html
49,South Korea fears COVID-19 infections getting out of control,With 103 new cases reported Friday^ this is the first time since late March that the daily increase surpassed 100 two days in a row,15 Aug 2020,https://www.indiatoday.in/world/asia/150820/south-korea-fears-covid-19-infections-getting-out-of-control.html
50,North Korea lifts coronavirus lockdown^ rejects virus aid,Experts say the COVID-19 crisis likely thwarted some of Kim's major economic goals by forcing the country into a lockdown,14 Aug 2020,https://www.indiatoday.in/world/asia/140820/north-korea-lifts-coronavirus-lockdown-rejects-virus-aid.html
51,North Korea nuclear reactor site damaged by flooding: US think-tank,Korean peninsula has been hammered by one of the longest rainy spells in recent history with floods and landslides causing damage and deaths,13 Aug 2020,https://www.indiatoday.in/world/asia/130820/north-korea-nuclear-reactor-site-damaged-by-flooding-us-think-tank.html
52,Hong Kongers are mass buying Apple Daily newspaper to defend free press,The public show of support came a day after police arrested HK's pro-democracy newspaperâs founder^ and raided its headquarters,12 Aug 2020,https://www.indiatoday.in/world/asia/120820/hong-kongers-are-mass-buying-apple-daily-newspaper-to-defend-free-pres.html
53,Fighter jets sent by China âdriven outâ: Taiwan Air Force,China^ which considers Taiwan to be a part of its terriroty^ had promised unspecified retaliation to the US' plan to visit Taiwan,10 Aug 2020,https://www.indiatoday.in/world/asia/100820/fighter-jets-send-by-china-driven-out-by-taiwanese-aircraft-tai.html
54,US health chief offers âstrong support and friendshipâ to Taiwanâs Tsai,Washington had broken off official ties with Taiwan in 1979 in favour of Beijing,10 Aug 2020,https://www.indiatoday.in/world/asia/100820/us-health-chief-offers-strong-support-and-friendship-to-taiwan.html
55,Japan's history of forced labour haunts ties with other Asian countries,Survivors of the camps^ their families and supporters are still seeking compensation and atonement for the labour and suffering,10 Aug 2020,https://www.indiatoday.in/world/asia/100820/japans-history-of-forced-labour-haunts-ties-with-other-asian-countrie.html
56,Why is US' highest-level visit to Taiwan sparking such anger from Beijing?,China is sensitive to any move that could amount to official recognition of Taiwan^ such as when Tsai spoke to Trump after his election,10 Aug 2020,https://www.indiatoday.in/world/asia/100820/why-is-us-highest-level-visit-to-taiwan-sparking-such-anger-from-beij.html
57,Hong Kong's pro-democracy media mogul arrested under security law,Jimmy Lai owns the Apple Daily newspaper and Next Magazine^ two outlets unapologetically pro-democracy and critical of China,10 Aug 2020,https://www.indiatoday.in/world/asia/100820/hong-kongs-pro-democracy-media-mogul-arrested-under-security-law.html
58,Trump official lands in Taiwan for highest-level visit in decades,China described the visit as a threat to âpeace and stabilityâ^ while the defence minister warned against US making any âdangerous movesâ,09 Aug 2020,https://www.indiatoday.in/world/asia/090820/trump-official-lands-in-taiwan-for-highest-level-visit-in-decades.html
59,Nagasaki hopes for a 'nuclear-free world' on 75th anniversary of atomic bombing,On August 9^ 1945^ Nagasaki was flattened in an atomic inferno three days after the first US atomic bombing in Hiroshima,09 Aug 2020,https://www.indiatoday.in/world/asia/090820/nagasaki-hopes-for-a-nuclear-free-world-on-75th-anniversary-of-atomi.html
60,Remembering Hiroshima and Nagasaki^ the first victims of atomic age,The twin bombings dealt the final blow to imperial Japan^ which surrendered on August 15^ 1945^ bringing an end to World War II,09 Aug 2020,https://www.indiatoday.in/world/asia/090820/remembering-hiroshima-and-nagasaki-the-first-victims-of-atomic-age.html
